content_id,genre,content_type,runtime_min,is_premium_exclusive
1,Originals-Drama,Original,125,1
2,Sports-Live,Sports,126,0
3,News,News,138,1
4,Originals-Drama,Original,111,0
5,Drama,Regular,98,0
6,Documentary,Regular,128,0
7,Originals-Drama,Original,81,1
8,Originals-Drama,Original,106,0
9,Drama,Regular,54,0
10,Sports-Live,Sports,209,1
11,Action,Regular,94,0
12,Documentary,Regular,113,0
13,Reality,Regular,75,1
14,News,News,124,0
15,Sports-Live,Sports,183,0
16,Comedy,Regular,33,1
17,Kids,Regular,80,1
18,Drama,Regular,107,0
19,News,News,117,0
20,Reality,Regular,72,0
21,Originals-Drama,Original,97,0
22,Action,Regular,86,0
23,Documentary,Regular,135,0
24,News,News,98,1
25,Originals-Drama,Original,70,1
26,Comedy,Regular,136,0
27,Sports-Highlights,Sports,32,0
28,Drama,Regular,138,0
29,Comedy,Regular,38,1
30,Reality,Regular,54,0
31,Originals-Drama,Original,118,0
32,Documentary,Regular,108,0
33,Action,Regular,136,0
34,Action,Regular,109,1
35,Sports-Highlights,Sports,96,1
36,Comedy,Regular,61,0
37,Drama,Regular,20,1
38,Sports-Highlights,Sports,34,1
39,Comedy,Regular,55,0
40,Reality,Regular,24,0
41,Sports-Live,Sports,124,0
42,News,News,113,1
43,Originals-Drama,Original,135,0
44,Action,Regular,78,0
45,News,News,125,0
46,News,News,138,1
47,Sports-Live,Sports,108,0
48,Action,Regular,75,1
49,Reality,Regular,59,0
50,Drama,Regular,137,1
51,Comedy,Regular,49,0
52,Drama,Regular,69,0
53,Originals-Drama,Original,28,1
54,Reality,Regular,115,1
55,Originals-Drama,Original,97,0
56,Originals-Drama,Original,30,0
57,Sports-Live,Sports,119,1
58,Kids,Regular,86,1
59,Drama,Regular,84,0
60,Drama,Regular,116,0
61,Reality,Regular,51,1
62,Sports-Highlights,Sports,130,1
63,Kids,Regular,73,1
64,Originals-Drama,Original,118,0
65,Reality,Regular,48,0
66,Kids,Regular,24,1
67,Kids,Regular,26,1
68,Action,Regular,64,1
69,Drama,Regular,134,0
70,Sports-Live,Sports,94,0
71,Comedy,Regular,64,1
72,Sports-Live,Sports,114,0
73,News,News,131,1
74,Comedy,Regular,101,0
