user_id,signup_day,subscription_tier,device,acquisition_channel,signup_cohort_month
1,3,Ad-Supported,CTV,Organic,0
2,227,Premium,Web,Paid-Social,7
3,298,Ad-Supported,Mobile,Organic,9
4,220,Ad-Supported,Mobile,Telco-Bundle,7
5,154,Premium,CTV,Paid-Social,5
6,331,Premium,CTV,Paid-Social,11
7,149,Ad-Supported,CTV,Referral,4
8,284,Ad-Supported,Mobile,Organic,9
9,186,Ad-Supported,Mobile,Telco-Bundle,6
10,11,Ad-Supported,Mobile,Organic,0
11,212,Premium,Mobile,Telco-Bundle,7
12,20,Ad-Supported,Mobile,Paid-Social,0
13,372,Ad-Supported,Mobile,Organic,12
14,241,Ad-Supported,CTV,Organic,8
15,149,Ad-Supported,CTV,Telco-Bundle,4
16,194,Ad-Supported,CTV,Telco-Bundle,6
17,248,Premium,CTV,Telco-Bundle,8
18,104,Ad-Supported,Mobile,Paid-Social,3
19,116,Premium,Mobile,Telco-Bundle,3
20,168,Premium,CTV,Paid-Social,5
21,104,Ad-Supported,Web,Organic,3
22,303,Ad-Supported,CTV,Paid-Social,10
23,42,Ad-Supported,CTV,Paid-Social,1
24,330,Ad-Supported,CTV,Telco-Bundle,11
25,140,Ad-Supported,CTV,Paid-Social,4
26,224,Premium,CTV,Paid-Social,7
27,63,Ad-Supported,CTV,Referral,2
28,154,Ad-Supported,Mobile,Telco-Bundle,5
29,302,Ad-Supported,Mobile,Organic,10
30,109,Ad-Supported,Mobile,Referral,3
31,53,Premium,CTV,Organic,1
32,209,Ad-Supported,Web,Telco-Bundle,6
33,65,Premium,Mobile,Organic,2
34,126,Premium,Mobile,Paid-Social,4
35,180,Ad-Supported,Web,Referral,6
36,226,Ad-Supported,Mobile,Organic,7
37,256,Ad-Supported,Web,Telco-Bundle,8
38,270,Premium,Mobile,Paid-Social,9
39,337,Ad-Supported,Mobile,Organic,11
40,27,Premium,Mobile,Referral,0
41,145,Premium,Mobile,Paid-Social,4
42,1,Premium,Mobile,Telco-Bundle,0
43,4,Ad-Supported,Mobile,Telco-Bundle,0
44,85,Ad-Supported,Mobile,Organic,2
45,239,Premium,Mobile,Organic,7
46,357,Ad-Supported,Web,Organic,11
47,309,Premium,Mobile,Paid-Social,10
48,258,Ad-Supported,Mobile,Organic,8
49,311,Ad-Supported,Mobile,Paid-Social,10
50,69,Premium,Tablet,Telco-Bundle,2
51,336,Ad-Supported,Web,Organic,11
52,356,Ad-Supported,Tablet,Telco-Bundle,11
53,38,Ad-Supported,Web,Paid-Social,1
54,188,Ad-Supported,Mobile,Organic,6
55,332,Premium,CTV,Organic,11
56,190,Ad-Supported,Mobile,Organic,6
57,336,Ad-Supported,Web,Telco-Bundle,11
58,374,Ad-Supported,Mobile,Organic,12
59,190,Premium,Mobile,Telco-Bundle,6
60,24,Ad-Supported,Web,Telco-Bundle,0
61,136,Premium,Web,Organic,4
62,86,Premium,Tablet,Telco-Bundle,2
63,190,Ad-Supported,Mobile,Referral,6
64,234,Premium,Mobile,Organic,7
65,186,Premium,Mobile,Referral,6
66,78,Ad-Supported,Mobile,Organic,2
67,121,Ad-Supported,Mobile,Telco-Bundle,4
68,272,Premium,Mobile,Organic,9
69,11,Premium,Web,Telco-Bundle,0
70,86,Premium,Mobile,Telco-Bundle,2
71,357,Premium,CTV,Referral,11
72,40,Ad-Supported,Web,Referral,1
73,166,Premium,CTV,Organic,5
74,83,Premium,Mobile,Telco-Bundle,2
75,42,Ad-Supported,Mobile,Organic,1
76,169,Ad-Supported,Mobile,Organic,5
77,209,Ad-Supported,CTV,Organic,6
78,71,Premium,Mobile,Referral,2
79,32,Ad-Supported,Mobile,Telco-Bundle,1
80,54,Premium,Tablet,Organic,1
81,260,Ad-Supported,CTV,Referral,8
82,344,Ad-Supported,Web,Telco-Bundle,11
83,72,Ad-Supported,Mobile,Organic,2
84,128,Ad-Supported,Tablet,Paid-Social,4
85,138,Premium,Mobile,Telco-Bundle,4
86,144,Ad-Supported,Mobile,Telco-Bundle,4
87,98,Premium,Web,Paid-Social,3
88,23,Ad-Supported,Web,Paid-Social,0
89,210,Premium,Mobile,Organic,7
90,143,Ad-Supported,Mobile,Paid-Social,4
91,137,Ad-Supported,Mobile,Organic,4
92,106,Ad-Supported,Web,Organic,3
93,371,Ad-Supported,Web,Organic,12
94,244,Ad-Supported,Mobile,Telco-Bundle,8
95,168,Premium,Mobile,Paid-Social,5
96,82,Ad-Supported,CTV,Paid-Social,2
97,320,Ad-Supported,CTV,Organic,10
98,355,Ad-Supported,Mobile,Referral,11
99,13,Ad-Supported,CTV,Organic,0
100,371,Premium,Tablet,Paid-Social,12
101,280,Ad-Supported,Mobile,Organic,9
102,40,Premium,CTV,Telco-Bundle,1
103,301,Premium,CTV,Paid-Social,10
104,43,Ad-Supported,CTV,Paid-Social,1
105,21,Ad-Supported,Web,Telco-Bundle,0
106,47,Ad-Supported,CTV,Telco-Bundle,1
107,184,Ad-Supported,CTV,Paid-Social,6
108,248,Ad-Supported,Mobile,Paid-Social,8
109,163,Premium,CTV,Referral,5
110,49,Premium,Mobile,Referral,1
111,80,Ad-Supported,Mobile,Telco-Bundle,2
112,341,Premium,Mobile,Telco-Bundle,11
113,385,Ad-Supported,CTV,Telco-Bundle,12
114,301,Premium,Tablet,Referral,10
115,42,Ad-Supported,CTV,Organic,1
116,328,Ad-Supported,Web,Referral,10
117,277,Premium,Mobile,Telco-Bundle,9
118,210,Premium,CTV,Paid-Social,7
119,58,Premium,Tablet,Paid-Social,1
120,398,Ad-Supported,Mobile,Organic,13
121,177,Premium,Web,Telco-Bundle,5
122,18,Ad-Supported,CTV,Telco-Bundle,0
123,84,Ad-Supported,Mobile,Organic,2
124,161,Ad-Supported,CTV,Telco-Bundle,5
125,25,Ad-Supported,Mobile,Organic,0
126,130,Ad-Supported,Mobile,Paid-Social,4
127,187,Ad-Supported,Mobile,Paid-Social,6
128,379,Premium,Mobile,Telco-Bundle,12
129,35,Premium,Mobile,Organic,1
130,231,Premium,Web,Organic,7
131,366,Ad-Supported,Mobile,Organic,12
132,322,Premium,Web,Telco-Bundle,10
133,370,Ad-Supported,CTV,Referral,12
134,68,Ad-Supported,Mobile,Telco-Bundle,2
135,320,Premium,Mobile,Telco-Bundle,10
136,391,Ad-Supported,Tablet,Organic,13
137,131,Ad-Supported,CTV,Organic,4
138,199,Ad-Supported,Web,Telco-Bundle,6
139,212,Ad-Supported,Mobile,Paid-Social,7
140,197,Premium,CTV,Organic,6
141,116,Ad-Supported,Web,Paid-Social,3
142,388,Ad-Supported,Tablet,Telco-Bundle,12
143,382,Ad-Supported,Mobile,Organic,12
144,152,Ad-Supported,Tablet,Organic,5
145,322,Premium,Mobile,Telco-Bundle,10
146,159,Premium,Web,Organic,5
147,318,Premium,CTV,Paid-Social,10
148,234,Premium,CTV,Telco-Bundle,7
149,188,Ad-Supported,Mobile,Referral,6
150,52,Premium,Web,Paid-Social,1
151,262,Ad-Supported,Mobile,Organic,8
152,129,Ad-Supported,Mobile,Paid-Social,4
153,87,Premium,CTV,Organic,2
154,78,Ad-Supported,CTV,Telco-Bundle,2
155,392,Premium,Mobile,Telco-Bundle,13
156,42,Premium,CTV,Paid-Social,1
157,319,Premium,Mobile,Telco-Bundle,10
158,346,Ad-Supported,CTV,Organic,11
159,13,Ad-Supported,CTV,Paid-Social,0
160,236,Premium,CTV,Referral,7
161,231,Ad-Supported,Web,Organic,7
162,144,Ad-Supported,CTV,Organic,4
163,267,Premium,Mobile,Telco-Bundle,8
164,164,Premium,CTV,Paid-Social,5
165,176,Premium,Mobile,Organic,5
166,173,Ad-Supported,Mobile,Organic,5
167,320,Ad-Supported,Web,Paid-Social,10
168,253,Ad-Supported,Mobile,Paid-Social,8
169,152,Ad-Supported,Mobile,Paid-Social,5
170,370,Ad-Supported,Tablet,Organic,12
171,321,Ad-Supported,Mobile,Paid-Social,10
172,373,Ad-Supported,Mobile,Telco-Bundle,12
173,292,Ad-Supported,Mobile,Telco-Bundle,9
174,157,Ad-Supported,Mobile,Telco-Bundle,5
175,309,Ad-Supported,CTV,Telco-Bundle,10
176,132,Ad-Supported,Web,Telco-Bundle,4
177,109,Premium,CTV,Organic,3
178,180,Ad-Supported,Mobile,Organic,6
